"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51174","test_train_model[chromium]","tests","Wed Jul 30 10:06:23 BST 2025","passed","Wed Jul 30 10:07:14 BST 2025","","test_scenario_3_train_model","",""
"","15531","test_upload_dataset[chromium]","tests","Tue Jul 29 23:45:05 BST 2025","passed","Tue Jul 29 23:45:21 BST 2025","","test_scenario_1_upload_dataset","",""
"","78838","Export YOLO11n model in all supported formats","","Wed Jul 30 10:04:43 BST 2025","passed","Wed Jul 30 10:06:02 BST 2025","","","",""
"","35785","Export YOLO11n model in all supported formats","tests","Wed Jul 30 12:01:44 BST 2025","passed","Wed Jul 30 12:02:19 BST 2025","","test_scenario_5_model_export","",""
"","10461","Export YOLO11n model in all supported formats","","Wed Jul 30 10:06:06 BST 2025","passed","Wed Jul 30 10:06:17 BST 2025","","","",""
"","22231","Export YOLO11n model in all supported formats","","Wed Jul 30 10:12:54 BST 2025","passed","Wed Jul 30 10:13:16 BST 2025","","","",""
"","50047","Export YOLO11n model in all supported formats","","Wed Jul 30 11:06:35 BST 2025","passed","Wed Jul 30 11:07:25 BST 2025","","","",""
"","54854","Export YOLO11n model in all supported formats","","Wed Jul 30 10:01:10 BST 2025","passed","Wed Jul 30 10:02:05 BST 2025","","","",""
